日期,發佈單位,標題,url
2023-08-17,教務處教學發展中心,【轉知】建國科技大學辦理「生成式AI在校園的應用」實體講座資訊,https://bulletin.ntust.edu.tw/p/406-1045-116065\,r1391.php?Lang=zh-tw
2023-08-17,教務處教學發展中心,【轉知】建國科技大學辦理「教學現場與AI生成技術的結合」實體講座資訊,https://bulletin.ntust.edu.tw/p/406-1045-116064\,r1391.php?Lang=zh-tw
2023-08-17,教務處教學發展中心,【轉知】國立臺北科技大學辦理112年「人工智慧應用趨勢與結合數位行銷技術之初探」教師研習課程,https://bulletin.ntust.edu.tw/p/406-1045-116062\,r1391.php?Lang=zh-tw
2023-08-17,教務處教學發展中心,【轉知】國立臺東大學訂於112年9月8日(星期五)辦理「教學實踐研究成效評量與分析」線上講座,https://bulletin.ntust.edu.tw/p/406-1045-116061\,r1391.php?Lang=zh-tw
2023-08-17,教務處教學發展中心,【轉知】龍華科技大學辦理「AzureAI認知服務與ChatGPT實務應用種子教師研習」,https://bulletin.ntust.edu.tw/p/406-1045-116060\,r1391.php?Lang=zh-tw
2023-08-17,教務處選才專案辦公室,【📣台科校內活動📣】8/23(三)、8/28(一)「北一區112年度技職教育發展與招生專業化精進交流座談會（土木與建築群、電機與電子群）」，敬邀各位師長踴躍報名參加！,https://bulletin.ntust.edu.tw/p/406-1045-116007\,r1391.php?Lang=zh-tw
2023-08-17,研究發展處計畫業務服務中心,【訊息轉知】社團法人臺灣海洋工程學會於112年10月5日至6日辦「112國際能源論壇暨第45屆海洋工程研討會與111年度國科會海洋及造船工程學門計畫成果發表會」，歡迎踴躍參加，請查照。,https://bulletin.ntust.edu.tw/p/406-1045-116058\,r1391.php?Lang=zh-tw
2023-08-17,教務處註冊組,【周知】112年度第3梯次全國技術士技能檢定報名作業,https://bulletin.ntust.edu.tw/p/406-1045-116050\,r1391.php?Lang=zh-tw
2023-08-17,教務處註冊組,【周知】「工業4.0職類第53屆全國技能競賽及第47屆國際技能競賽國手選拔賽」計畫,https://bulletin.ntust.edu.tw/p/406-1045-116047\,r1391.php?Lang=zh-tw
2023-08-17,總務處事務組,研揚及一舍地下機車停車場地面環境清潔公告,https://bulletin.ntust.edu.tw/p/406-1045-116045\,r1391.php?Lang=zh-tw
2023-08-16,教務處選才專案辦公室,【校外活動轉知】112年8月21日（星期一）「112年新課綱與學習成果分享交流座談會【北區】」，敬邀各位師長踴躍報名參加！,https://bulletin.ntust.edu.tw/p/406-1045-116028\,r1391.php?Lang=zh-tw
2023-08-16,秘書室,【轉知】入場觀賽就摸彩「東元50吋大電視」！,https://bulletin.ntust.edu.tw/p/406-1045-116039\,r1391.php?Lang=zh-tw
2023-08-16,學務處就業輔導組,【轉知】財團法人工業技術研究院「大專校院就業職能平台應用交流研習會」,https://bulletin.ntust.edu.tw/p/406-1045-116038\,r1391.php?Lang=zh-tw
2023-08-16,研發處學術推展中心,【Callfor2024ITS(印尼泗水理工)-NTUSTProposals】Applicationsareacceptedfromnowuntil5pmonSep.302023,https://bulletin.ntust.edu.tw/p/406-1045-116031\,r1391.php?Lang=zh-tw
2023-08-16,通識教育中心,【轉知】大葉大學辦理「21世紀大學通識教育的創新與未來：新通識教育×SDGs×EMI×教學實踐研究」國際學術研討會徵文，歡迎投稿。,https://bulletin.ntust.edu.tw/p/406-1045-116029\,r1391.php?Lang=zh-tw
2023-08-16,學務處就業輔導組,【轉知】新北市政府青年局「青職基地9月份職涯課程與活動資訊」,https://bulletin.ntust.edu.tw/p/406-1045-116011\,r1391.php?Lang=zh-tw
2023-08-15,產學處創新育成中心,轉知內政部為推動「合作事業推動地方創生輔導試辦計畫」,https://bulletin.ntust.edu.tw/p/406-1045-116004\,r1391.php?Lang=zh-tw
2023-08-15,產學處創新育成中心,轉知外交部第9屆「全民潮台灣」短片徵件競賽本（20）日開跑，即日起至9月30日公開徵件!,https://bulletin.ntust.edu.tw/p/406-1045-116003\,r1391.php?Lang=zh-tw
2023-08-15,產學處創新育成中心,【競賽資訊轉知】龍華科技大學2023桃園青創力學生創業競賽即日起開放報名至2023年9月8日，歡迎有興趣同學報名參加。,https://bulletin.ntust.edu.tw/p/406-1045-116002\,r1391.php?Lang=zh-tw
2023-08-15,產學處創新育成中心,【活動轉知】2023全國創新創業種子師資培訓營,https://bulletin.ntust.edu.tw/p/406-1045-116001\,r1391.php?Lang=zh-tw
